ID,Condición del Inmueble,land_size,land_size_unit,total_area,total_area_unit,Latitud,Longitud,URL_FOR_REF
60810260,A estrenar,74,m²,0,,19.4044703,-99.1788511,https://www.inmuebles24.com/propiedades/hermoso-ph-en-preventa-sustentable-estilo-vintage-60810260.html
60810246,A estrenar,47,m²,0,,19.404142,-99.1775911,https://www.inmuebles24.com/propiedades/preventa-de-departamentos-en-condominio-sustentable-60810246.html
60810195,5  Antigüedad,62,m²,0,,19.4346715,-99.1446138,https://www.inmuebles24.com/propiedades/loft-en-venta-con-vista-a-la-alameda-en-el-centro-de-60810195.html
60810055,A estrenar,1156,m²,0,,19.3737284,-99.2776097,https://www.inmuebles24.com/propiedades/enormes-departamentos-en-bosques-de-las-lomas-60810055.html
60810032,A estrenar,296,m²,0,,19.4487605,-99.1772315,https://www.inmuebles24.com/propiedades/departamento-en-venta-a-10-min.-de-nuevo-polanco-60810032.html
60809954,A estrenar,89,m²,0,,19.3786248,-99.1905454,https://www.inmuebles24.com/propiedades/departamento-entrega-inmediata-nonoalco-benito-juarez-60809954.html
60809952,A estrenar,95,m²,0,,19.3882388,-99.1525448,https://www.inmuebles24.com/propiedades/departamento-en-venta-narvarte-60809952.html
60809940,A estrenar,76,m²,0,,19.3592226,-99.1929399,https://www.inmuebles24.com/propiedades/departamento-en-venta-san-angel-60809940.html
60809144,1  Antigüedad,85,m²,0,,19.3923718,-99.1625455,https://www.inmuebles24.com/propiedades/hermoso-departamento-en-venta-uso-de-suelo-mixto-60809144.html
60805883,2   Recámaras,55,m²,55,m²,19.2932552,-99.1107443,https://www.inmuebles24.com/propiedades/gran-oportunidad-en-coapa-60805883.html
60794364,6  Antigüedad,57,m²,57,m²,19.4551313,-99.1957485,https://www.inmuebles24.com/propiedades/venta-de-departamento-calz-legaria-miguel-hidalgo-60794364.html
60376951,1  Antigüedad,150,m²,150,m²,19.4330204,-99.1954756,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-polanco-60376951.html
59183774,13  Antigüedad,51,m²,51,m²,19.454082,-99.194985,https://www.inmuebles24.com/propiedades/excelente-departamento-a-una-calle-de-legaria-59183774.html
59570346,25  Antigüedad,180,m²,320,m²,19.368673,-99.1380154,https://www.inmuebles24.com/propiedades/casa-en-colonia-marte-59570346.html
60362382,3   Recámaras,69,m²,69,m²,19.4033334,-99.1831887,https://www.inmuebles24.com/propiedades/venta-de-departamento-3-recamaras-carlos-b-zetina-60362382.html
60610796,3   Recámaras,90,m²,90,m²,19.5016187,-99.1212316,https://www.inmuebles24.com/propiedades/departamento-con-areas-comunes-para-compartir-con-tu-60610796.html
60658419,2   Recámaras,117,m²,117,m²,19.4326033,-99.1909293,https://www.inmuebles24.com/propiedades/exclusivo-departamento-60658419.html
58678528,A estrenar,75,m²,75,m²,19.3647389,-99.1450246,https://www.inmuebles24.com/propiedades/portales-en-venta-departamento-58678528.html
60742058,10  Antigüedad,44,m²,86,m²,19.2825036,-99.2083626,https://www.inmuebles24.com/propiedades/departamento-en-venta-86-m-sup2--miguel-hidalgo-3er-60742058.html
60279319,11  Antigüedad,65,m²,65,m²,19.4198706,-99.1695089,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-roma-60279319.html
60658828,2   Recámaras,117,m²,117,m²,19.4326033,-99.1909293,https://www.inmuebles24.com/propiedades/exclusivo-departamento-60658828.html
60647776,2   Recámaras,90,m²,90,m²,19.44249326,-99.17684702,https://www.inmuebles24.com/propiedades/departamento-anahuac-miguel-hidalgo-60647776.html
60645225,2   Recámaras,65,m²,65,m²,19.4713889,-99.1614364,https://www.inmuebles24.com/propiedades/departamento-residencial-oasis-azcapotzalco-60645225.html
